"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD"
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-01-01",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-01-03",,,"0.35",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-01-04",,,"0.03",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-01-05",,,"0.04","1.2",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-01-06",,,"0.00","0.0","1.0"
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-01-10",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-01-11",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-01-12",,,"0.00",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-01-13",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-01-14",,,"0.51","0.1",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-01-15",,,"0.11",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-01-16",,,"0.17",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-01-17",,,"0.06",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-01-18",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-01-19",,,"0.02",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-01-20",,,"0.13",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-01-21",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-01-23",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-01-24",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-01-25",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-01-26",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-01-27",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-01-28",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-01-29",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-01-30",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-02-01",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-02-05",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-02-06",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-02-07",,,"0.00",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-02-09",,,"0.01","0.1",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-02-13",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-02-14",,,"0.00",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-02-15",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-02-16",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-02-17",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-02-21",,,"0.16",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-02-22",,,"0.05",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-02-23",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-02-24",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-02-27",,,"0.00",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-02-28",,,"0.05",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-03-01",,,"0.56",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-03-03",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-03-04",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-03-05",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-03-07",,,"0.31","0.0","0.0"
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-03-11",,,"0.10","0.5",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-03-13",,,"0.23","1.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-03-14",,,"0.01","0.1",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-03-15",,,"0.01",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-03-16",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-03-17",,,"0.01",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-03-18",,,"0.04",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-03-20",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-03-23",,,"0.06",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-03-24",,,"0.03",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-03-25",,,"0.54",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-03-26",,,"0.14",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-03-27",,,"0.00",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-03-28",,,"0.30",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-03-29",,,"0.01",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-03-30",,,"0.71",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-03-31",,,"0.68",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-04-01",,,"0.01",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-04-03",,,"0.02",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-04-04",,,"0.21",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-04-05",,,"1.15",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-04-06",,,"0.41",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-04-07",,,"0.01",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-04-08",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-04-09",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-04-10",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-04-11",,,"0.24",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-04-15",,,"0.03",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-04-16",,,"0.05",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-04-17",,,"0.10",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-04-22",,,"0.10",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-04-29","    7","2.44",,,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-04-30",,,"3.38",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-05-01",,,"0.65",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-05-02",,,"0.01",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-05-03",,,"0.00",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-05-04",,,"2.52",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-05-05",,,"0.22",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-05-06",,,"0.01",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-05-07",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-05-10",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-05-11",,,"0.86",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-05-12",,,"0.07",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-05-15",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-05-16",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-05-17",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-05-19",,,"0.44",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-05-20",,,"1.29",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-05-21",,,"0.09",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-05-22",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-05-23",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-05-24",,,"0.04",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-05-25",,,"0.01",,
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-05-26",,,"0.00","0.0",
"US1MOSS0027","ST. CHARLES 2.3 NE, MO US","2017-05-27",,,"0.01",,
